id,model,type_name,name,image,price,power,description,discounts,in_stock,form_factor,date_registered
1,i9-13900K,cpu,"Intel Core i9-13900K 3 GHz 24-Core Processor",NULL,569.97,253,"13th Gen Intel Core i9-13900K desktop processor. Featuring Intel Adaptive Boost Technology, Intel Thermal Velocity Boost, Intel Turbo Boost Max Technology 3.0, and PCIe 5.0 and 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel Core i9 desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 125W Processor Base Power.",0,1,,2023-05-15
2,Z690-LGA1700,motherboard,"MSI MAG Z690 TOMAHAWK WIFI","Z690 - LGA1700.jpg",239.99,70,"Supports both 13th generation (bios update required) and 12th generation of intel CPU. Number of m.2 drives supported: 4, Number of SATA support: 6, Number of PCI3x16 slots: 3. DDR4 compatible, supports up to 4 slots.",0,1,ATX,2023-05-15
3,Z790-LGA1700,motherboard,"Gigabyte Z790 AORUS ELITE AX ATX","Z790 - LGA1700.jpg",254.99,70,"Supports 13th generation of intel CPU out of the box. Number of m.2 drives supported: 4, Number of SATA support: 6, Number of PCI3x16 slots: 3. DDR5 compatible, supports up to 4 slots.",0,1,ATX,2023-05-15
4,"Corsair Vengeance LPX ",RAM,"Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200","Corsair Vengeance LPX.jpg",44.99,14,"2x8 DDR4 memeory kit (16GB)",0,1,,2023-05-15
5,"G.Skill Trident Z5",RAM,"G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5","G.Skill Trident Z5.jpg",249.99,62,"2x16 DDR5 memory kit (32GB)",0,1,,2023-05-15
6,"Nvidia RTX 4090",GPU,"Nvidia RTX 4090 Founders Edition","Nvidia RTX 4090.jpg",2289.98,450,"16,384 NVIDIA CUDA Cores, Supports 4K 120Hz HDR, 8K 60Hz HDR, and Variable Refresh Rate as specified in HDMI 2.1a, Fourth-Gen Tensor Cores: Up to 2x AI performance, Third-Gen RT Cores: Up to 2x ray tracing performance, AI-Accelerated Performance: NVIDIA DLSS 3",0,1,,2023-05-15
7,"ATX Mid Tower",case,"Corsair 4000D Airflow ATX Mid Tower Case
",NULL,94.99,NULL,,0,1,ATX,2023-05-15
8,1000W-Gold,PSU,"Corsair RM1000x (2021) 1000 W 80+ Gold",1000W-Gold.jpg,188.99,1000,,0,1,ATX,2023-05-15
9,"PCIe 3.0-M.2",m2,"Samsung 970 Evo Plus 1 TB M.2-2280 PCIe 3.0 X4","PCIe 3.0-M.2.jpg",59.99,10,,0,1,,2023-05-15
10,i7-13700K,cpu,"Intel Core i7-13700K 3.4 GHz 16-Core Processor",i7-13700k.jpg,399.99,253,"13th Gen Intel Core i7-13900K desktop processor. Featuring Intel Turbo Boost Max Technology 3.0, and PCIe 5.0 and 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel Core i7 desktop processors are optimized for gamers and productivity and help deliver high performance. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 125W Processor Base Power.",0,1,,2023-05-15
